Province/State,Country/Region,Lat,Long,ISO 3166-1 Alpha 3-Codes,Sub-region Name,Intermediate Region Code,Date,Deaths,Cases,Recovered,Hospitalised,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,26/04/2020,0,3,1,1738,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,27/04/2020,0,3,3,1750,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,28/04/2020,0,3,3,1667,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,29/04/2020,0,3,3,1630,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,30/04/2020,0,3,3,1592,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,01/05/2020,0,3,3,1546,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,02/05/2020,0,3,3,1510,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,03/05/2020,0,3,3,1490,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,04/05/2020,0,3,3,1480,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,05/05/2020,0,3,3,1441,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,06/05/2020,0,3,3,1381,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,07/05/2020,0,3,3,1326,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,08/05/2020,0,3,3,1266,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,09/05/2020,0,3,3,1262,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,10/05/2020,0,3,3,1231,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,11/05/2020,0,3,3,1257,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,12/05/2020,0,3,3,1217,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,13/05/2020,0,3,3,1191,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,14/05/2020,0,3,3,1147,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,15/05/2020,0,3,3,1123,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,16/05/2020,0,3,3,1075,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,17/05/2020,0,3,3,1071,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,18/05/2020,0,3,3,1074,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,19/05/2020,0,3,3,1051,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,20/05/2020,0,3,3,1004,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,21/05/2020,0,3,3,976,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,22/05/2020,0,3,3,964,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,23/05/2020,0,3,3,925,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,24/05/2020,0,3,3,925,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,25/05/2020,0,3,3,928,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,26/05/2020,0,3,3,917,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,27/05/2020,0,3,3,863,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,28/05/2020,0,3,3,830,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,29/05/2020,0,3,3,797,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,30/05/2020,0,3,3,763,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,31/05/2020,0,3,3,760,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,01/06/2020,0,3,3,761,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,02/06/2020,0,3,3,744,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,03/06/2020,0,3,3,716,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,04/06/2020,0,3,3,691,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,05/06/2020,0,3,3,670,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,06/06/2020,0,3,3,646,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,07/06/2020,0,3,3,624,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,08/06/2020,0,3,3,623,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,09/06/2020,0,3,3,602,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,10/06/2020,0,3,3,575,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,11/06/2020,0,3,3,544,,,
